"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Scolopax minor","American Woodcock","Species","Exact Match","Scolopax minor","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",30,29,1
"Scutellaria brittonii","Britton''s Skullcap","Species","Exact Match","Scutellaria brittonii","Nebraska","Nebraska",1,1,0
"Scutellaria parvula","Dwarf Skullcap","Species","Exact Match","Scutellaria parvula","Vermont","Nebraska",1,1,0
"Sedum lanceolatum var. lanceolatum","Yellow Stonecrop","Variety","Exact Match","Sedum lanceolatum var. lanceolatum","","Nebraska",0,1,-1
"Selasphorus rufus","Rufous Hummingbird","Species","Exact Match","Selasphorus rufus","Alaska,California,Colorado,Nevada","Alaska,Colorado,Nevada",4,3,1
"Senecio integerrimus var. scribneri","Scribner''s Groundsel","Variety","Followed Accepted TSN","Senecio scribneri","","Nebraska",0,1,-1
"Senecio spartioides","Broom Groundsel","Species","Exact Match","Senecio spartioides","","Nebraska",0,1,-1
"Senna marilandica","Southern Wild Senna","Species","Exact Match","Senna marilandica","Nebraska","Nebraska",1,1,0
"Setophaga cerulea","Cerulean Warbler","Species","Followed Accepted TSN","Dendroica cerulea,Dendroica cerulean,Setophaga cerulea,Setophaga  cerulea,Setophaga (Dendroica) cerulea","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",32,35,-3
"Setophaga dominica","Yellow-throated Warbler","Species","Followed Accepted TSN","Dendroica dominica,Setophaga dominica","Delaware,Kansas,Michigan,Nebraska,New Jersey,Ohio,Tennessee,Texas,Wisconsin","Delaware,Kansas,Louisiana,Michigan,Missouri,Nebraska,North Carolina,South Carolina,Tennessee,Texas,Wisconsin",9,11,-2
"Setophaga graciae","Grace''s Warbler","Species","Followed Accepted TSN","Dendroica graciae,Setophaga graciae","Colorado,Nevada,New Mexico","Arizona,Colorado,New Mexico",3,3,0
"Sigmodon hispidus","Lower Keys Cotton Rat","Species","Followed Accepted TSN","Sigmodon hispidus,Sigmodon hispidus eremicus,Sigmodon hispidus exsputus,Sigmodon hispidus insulicola","Arizona,California,Florida,Nebraska","Arizona,Florida,Nebraska",4,3,1
"Silene menziesii","Menzies' Catchfly","Species","Exact Match","Silene menziesii","","Nebraska",0,1,-1
"Silphium integrifolium var. integrifolium","Rosinweed","Variety","Exact Match","Silphium integrifolium var. integrifolium","","Nebraska",0,1,-1
"Siphlonurus minnoi","A Mayfly","Species","Exact Match","Siphlonurus minnoi","Kansas","Kansas",1,1,0
"Sistrurus catenatus","Massasauga","Species","Exact Match","Sistrurus catenatus,Sistrurus  catenatus,Sistrurus c. catenatus","Colorado,Indiana,Kansas,Minnesota,Nebraska,New York,Texas","Arizona,Colorado,Illinois,Indiana,Iowa,Kansas,Minnesota,Nebraska,New Mexico,Texas,Wisconsin",7,11,-4
"Sitta pygmaea","Pygmy Nuthatch","Species","Exact Match","Sitta pygmaea","Colorado,Idaho,Nebraska,Washington,Wyoming","Nebraska,New Mexico,Washington,Wyoming",5,4,1
"Solidago flexicaulis","Zigzag Goldenrod","Species","Exact Match","Solidago flexicaulis","Nebraska","Louisiana,Nebraska",1,2,-1
"Solidago speciosa var. pallida","Showy-wand Goldenrod","Variety","Exact Match","Solidago speciosa var. pallida","","Nebraska",0,1,-1
"Somatochlora ensigera","Plains Emerald","Species","Exact Match","Somatochlora ensigera","Colorado,Wisconsin","Colorado,Iowa,Minnesota,Ohio,Wisconsin",2,5,-3
"Somatochlora hudsonica","Hudsonian emerald","Species","Exact Match","Somatochlora hudsonica","","Colorado",0,1,-1
"Somatochlora ozarkensis","Ozark Emerald","Species","Exact Match","Somatochlora ozarkensis","Kansas,Missouri,Oklahoma","Arkansas,Kansas,Missouri,Oklahoma",3,4,-1
"Sonora semiannulata","Ground Snake","Species","Exact Match","Sonora semiannulata","Arkansas,Idaho,Kansas,Utah","Arkansas,Kansas,Missouri",4,3,1
"Sorex arcticus","Arctic Shrew","Species","Exact Match","Sorex arcticus","Michigan,Montana,North Dakota","Montana,North Dakota",3,2,1
"Sorex haydeni","Hayden''s Shrew","Species","Exact Match","Sorex hayden,Sorex haydeni","Iowa,Wyoming","Iowa,Wyoming",2,2,0
"Sorex hoyi","Pygmy Shrew","Species","Exact Match","Microsorex hoyi,Sorex hoyi","Alabama,Alaska,Idaho,Illinois,Indiana,Michigan,North Dakota,Ohio,South Carolina,Tennessee,Vermont,Wyoming","Alabama,Indiana,New Jersey,North Dakota,Ohio,South Carolina,Tennessee,Vermont,Wyoming",12,9,3
"Sorex hoyi montanus","Pygmy shrew","Subspecies","Exact Match","Sorex hoyi montanus","","Colorado",0,1,-1
"Sorex merriami","Merriam''s Shrew","Species","Exact Match","Sorex merriami,Sorex merriami leucogenys","Arizona,Idaho,Montana,Nebraska,Nevada,Utah,Washington","Arizona,Nebraska,Nevada,North Dakota,Washington",7,5,2
"Sorex nanus","Dwarf Shrew","Species","Exact Match","Sorex nanus","Arizona,Colorado,Idaho,Montana,Nebraska,Utah,Wyoming","Arizona,Colorado,Montana,Nebraska,Utah,Wyoming",7,6,1
"Sorex preblei","Preble's shrew","Species","Exact Match","Sorex preblei","Colorado,Montana,Nevada,New Mexico,Utah,Washington,Wyoming","Colorado,Nevada,Utah,Washington,Wyoming",7,5,2
"Sorex vagrans","Vagrant Shrew","Species","Exact Match","Sorex vagrans","Nevada,Wyoming","Wyoming",2,1,1
"Sparbarus nasutus","A Mayfly","Species","Followed Accepted TSN","Brachycercus nasutus,Sparbarus nasutus","Florida,Wisconsin","Florida,Nebraska",2,2,0
"Sparganium emersum","Green-fruit Bur-reed","Species","Exact Match","Sparganium emersum","Nebraska","Nebraska",1,1,0
"Spea bombifrons","Plains Spadefoot","Species","Exact Match","Spea bombifrons","Arkansas,Montana,North Dakota,Utah,Wyoming","Arkansas,Iowa,Missouri,North Dakota,Utah,Wyoming",5,6,-1
"Spea intermontana","Great Basin Spadefoot","Species","Exact Match","Spea intermontana","Arizona,Wyoming","Arizona,Colorado,Nevada,Wyoming",2,4,-2
"Spergularia salina","Saltmarsh Sand-spurry","Species","Exact Match","Spergularia salina","","Nebraska",0,1,-1
"Speyeria aphrodite","Aphrodite Fritillary","Species","Exact Match","Speyeria aphrodite","Delaware,Illinois,Pennsylvania","Delaware,Iowa,Nebraska,Rhode Island",3,4,-1
"Speyeria atlantis pahasapa","Black Hills fritillary","Subspecies","Exact Match","Speyeria atlantis pahasapa","South Dakota","South Dakota",1,1,0
"Speyeria callippe","Callippe Fritillary","Species","Exact Match","Speyeria callippe","","Nebraska",0,1,-1
"Speyeria coronis","Coronis Fritillary","Species","Exact Match","Speyeria coronis","","Nebraska",0,1,-1
"Speyeria idalia","Regal Fritillary","Species","Exact Match","Speyeria idalia","Colorado,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Maryland,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Vermont,Virginia,West Virginia,Wisconsin","Colorado,Connecticut,Delaware,Illinois,Iowa,Kansas,Minnesota,Missouri,Nebraska,New Jersey,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Vermont,West Virginia,Wisconsin",22,18,4
"Speyeria nokomis nokomis","Great Basin silverspot butterfly","Subspecies","Exact Match","Speyeria nokomis nokomis","Colorado,New Mexico","Colorado",2,1,1
"Speyeria zerene","Zerene Fritillary","Species","Exact Match","Speyeria zerene","","Nebraska",0,1,-1
"Sphalloplana kansensis","Kansas Planarian","Species","Exact Match","Sphalloplana kansensis","Kansas","Kansas",1,1,0
"Spilogale putorius","Eastern Spotted Skunk","Species","Fuzzy Match","Spilogale putoris,Spilogale putorius,Spilogale putorius ssp.","Alabama,Arkansas,Florida,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Carolina,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia","Alabama,Arkansas,Florida,Georgia,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia",20,19,1
"Spinus pinus","Pine Siskin","Species","Followed Accepted TSN","Carduelis pinus,Spinus pinus","Alaska,Nebraska,North Carolina,Ohio,Pennsylvania,West Virginia","Alaska,Delaware,Maryland,Nebraska,Pennsylvania,West Virginia",6,6,0
"Spiranthes diluvialis","Ute ladies’-tresses","Species","Exact Match","Spiranthes diluvialis","Nebraska","Colorado,Nebraska",1,2,-1
"Spiranthes lacera var. gracilis","Slender Ladies''-tresses","Variety","Exact Match","Spiranthes lacera var. gracilis","Nebraska","Nebraska",1,1,0
"Spiranthes romanzoffiana","Hooded Ladies''-tresses","Species","Exact Match","Spiranthes romanzoffiana","","Massachusetts,Nebraska",0,2,-2
"Spiranthes vernalis","Spring Ladies''-tresses","Species","Exact Match","Spiranthes vernalis","Nebraska","Massachusetts,Nebraska,West Virginia",1,3,-2
"Spiza americana","Dickcissel","Species","Exact Match","Spiza americana","Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Tennessee,Texas,West Virginia,Wisconsin,Wyoming","Delaware,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Missouri,New Jersey,North Dakota,Ohio,Pennsylvania,South Carolina,Texas,West Virginia,Wisconsin,Wyoming",19,19,0
"Spizella breweri","Brewer's Sparrow","Species","Exact Match","Spizella breweri","California,Colorado,Idaho,Montana,Nebraska,Nevada,North Dakota,Oregon,Texas,Utah,Wyoming","Arizona,Colorado,Nebraska,Nevada,North Dakota,Wyoming",11,6,5
"Spizelloides arborea","American Tree Sparrow","Species","Followed Accepted TSN","Spizella arborea","Alaska,Kansas","Alaska,Delaware,Iowa,Kansas",2,4,-2
"Sporobolus texanus","Texas Dropseed","Species","Exact Match","Sporobolus texanus","Nebraska","Nebraska",1,1,0
"Stachys hispida","Hispid Hedge-nettle","Species","Exact Match","Stachys hispida","Nebraska","Nebraska,Vermont",1,2,-1
"Stanleya pinnata var. pinnata","Prince''s-plume","Variety","Exact Match","Stanleya pinnata var. pinnata","","Nebraska",0,1,-1
"Staphylus hayhurstii","Hayhurst''s Scallopwing","Species","Exact Match","Staphylus hayhurstii","West Virginia","Florida,Iowa,Nebraska,Ohio,West Virginia",1,5,-4
"Stephanomeria runcinata","Wire-lettuce","Species","Exact Match","Stephanomeria runcinata","Nebraska","Nebraska",1,1,0
"Sterna forsteri","Forster''s Tern","Species","Exact Match","Sterna forsteri","California,Colorado,Delaware,Idaho,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Montana,Nebraska,Nevada,New Jersey,New York,South Carolina,Texas,Virginia,Wisconsin,Wyoming","Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Nebraska,New Jersey,New York,North Carolina,South Carolina,Texas,Virginia,Wisconsin,Wyoming",21,18,3
"Sternula antillarum","Least Tern","Species","Followed Accepted TSN","Sterna antillarum,Sternula antillarum","Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Puerto Rico,Rhode Island,South Carolina,Texas,Virginia,Virgin Islands","Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Rhode Island,South Carolina,Texas,Virginia",26,23,3
"Sternula antillarum athalassos","Interior Least Tern","Subspecies","Exact Match","Sterna antillarum athalassos,Sternula antillarum athalassos,Sternulla antillarum athalassos","Arkansas,Kentucky,Louisiana,Mississippi,Missouri,Nebraska,Oklahoma,South Dakota,Tennessee","Arkansas,Indiana,Kentucky,Louisiana,Mississippi,Missouri,Nebraska,North Dakota,Oklahoma,South Dakota,Tennessee",9,11,-2
"Storeria occipitomaculata","Redbelly Snake","Species","Exact Match","Storeria occipitomaculata,Storeria occipitomaculata 19,Storeria occipitomaculata 20,Storeria o.occipitomaculata","Delaware,Kansas,Nebraska,North Dakota,Ohio","Delaware,Iowa,Kansas,Nebraska",5,4,1
"Storeria occipitomaculata pahasapae","Black Hills Redbelly Snake","Subspecies","Exact Match","Storeria occipitomaculata pahasapae","South Dakota,Wyoming","South Dakota,Wyoming",2,2,0
"Strix nebulosa","Great Gray Owl","Species","Exact Match","Strix nebulosa,Strix nebulosi","Alaska,California,Montana,Oregon,Washington,Wyoming","Alaska,California,Idaho,Oregon,Washington,Wyoming",6,6,0
"Strix occidentalis lucida","Mexican Spotted Owl","Subspecies","Exact Match","Strix occidentalis lucida","Arizona,Colorado,New Mexico,Utah","Arizona,Colorado,New Mexico,Texas,Utah",4,5,-1
"Strophitus undulatus","Creeper","Species","Exact Match","Strophitus undulates,Strophitus undulatus","Alabama,Arkansas,Delaware,Iowa,Kansas,Louisiana,Maryland,Massachusetts,Mississippi,New Jersey,North Carolina,Rhode Island,South Carolina,Tennessee,Texas,Virginia","Alabama,Delaware,Iowa,Kansas,Louisiana,Maryland,Massachusetts,Mississippi,New Hampshire,New Jersey,North Dakota,Rhode Island,South Carolina,Tennessee,Virginia,West Virginia",16,16,0
"Stuckenia filiformis ssp. occidentalis","Thread-leaf Pondweed","Subspecies","Followed Accepted TSN","Stuckenia filiformis var. occidentalis","","Nebraska",0,1,-1
"Sturnella magna","Eastern Meadowlark","Species","Exact Match","Sturnella magna","Connecticut,District of Columbia,Florida,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Rhode Island,South Carolina,Texas,Vermont,Virginia,Wisconsin","Arizona,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Missouri,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",22,26,-4
"Sturnella neglecta","Western Meadowlark","Species","Exact Match","Sturnella neglecta","Indiana,Michigan,Ohio,Oregon,Texas,Wisconsin","Indiana,Iowa,Michigan,Minnesota,North Dakota,Oregon,Wisconsin",6,7,-1
"Stutzia dioica","Rillscale","Species","Followed Accepted TSN","Atriplex suckleyi,Stutzia dioica","Nebraska","Nebraska",1,1,0
"Stylurus intricatus","Brimstone Clubtail","Species","Exact Match","Gomphus intricatus,Stylurus intricatus","Colorado,Iowa,Montana","Colorado,Iowa",3,2,1
"Stylurus notatus","Elusive Clubtail","Species","Followed Accepted TSN","Gomphus notatus,Stylurus notatus","Georgia,Illinois,Maryland,Michigan,Minnesota,Missouri,New York,Virginia","Illinois,Iowa,Michigan,Missouri,Nebraska,Ohio,Pennsylvania,South Dakota,Virginia,West Virginia",8,10,-2
"Suckleya suckleyana","Poison Suckleya","Species","Exact Match","Suckleya suckleyana","Nebraska","Nebraska",1,1,0
"Sylvilagus aquaticus","Swamp Rabbit","Species","Exact Match","Sylvilagus aquaticus,Sylvilagus  aquaticus","Illinois,Indiana,Kansas,Kentucky,Missouri,Oklahoma,South Carolina,Texas","Indiana,Kansas,Kentucky,Missouri,Oklahoma,South Carolina,Texas",8,7,1
"Sympetrum madidum","Red-veined meadowfly","Species","Exact Match","Sympetrum madidum","Colorado","Colorado,Minnesota",1,2,-1
"Symphoricarpos albus var. albus","Snowberry","Variety","Exact Match","Symphoricarpos albus var. albus","","Massachusetts,Nebraska,West Virginia",0,3,-3
"Symphyotrichum ascendens","Western Aster","Species","Exact Match","Symphyotrichum ascendens","Nebraska","Nebraska",1,1,0
"Symphyotrichum falcatum var. falcatum","Prairie White Aster","Variety","Exact Match","Symphyotrichum falcatum var. falcatum","","Nebraska",0,1,-1
"Symphyotrichum fendleri","Fendler''s Aster","Species","Exact Match","Symphyotrichum fendleri","Nebraska","Nebraska",1,1,0
"Symphyotrichum lateriflorum","White Woodland Aster","Species","Exact Match","Symphyotrichum lateriflorum","Nebraska","Nebraska",1,1,0
"Symphyotrichum subulatum","Saltmarsh Aster","Species","Exact Match","Symphyotrichum subulatum","Nebraska","Nebraska",1,1,0
"Symphyotrichum urophyllum","White Arrow-leaf Aster","Species","Exact Match","Symphyotrichum urophyllum","","Nebraska,Vermont",0,2,-2
"Synaptomys borealis","Northern Bog Lemming","Species","Followed Accepted TSN","Synaptomys borealis,Synaptomys borealis sphagnicola","Alaska,Idaho,Maine,Minnesota,Montana,New Hampshire,Vermont","Alaska,Idaho,Maine,Minnesota,Montana,New Hampshire,Vermont,Washington",7,8,-1
"Synaptomys cooperi","Southern Bog Lemming","Species","Followed Accepted TSN","Synaptomys cooperi,Synaptomys cooperi helaletes","Arkansas,Connecticut,District of Columbia,Georgia,Iowa,Kansas,Maryland,Massachusetts,Michigan,New Jersey,North Carolina,Ohio,Rhode Island,Tennessee,Vermont,Virginia,West Virginia","Arkansas,Connecticut,Georgia,Iowa,Kansas,Maryland,Massachusetts,New Hampshire,New Jersey,Rhode Island,Tennessee,Vermont,West Virginia",17,13,4
"Tachopteryx thoreyi","Gray Petaltail","Species","Exact Match","Tachopteryx thoreyi","District of Columbia,Florida,Kansas,Maryland,Michigan,New York,Pennsylvania,Vermont,Virginia,West Virginia","District of Columbia,Kansas,Maryland,Michigan,New Jersey,New York,Ohio,Pennsylvania,Virginia,West Virginia",10,10,0
"Tachycineta thalassina","Violet-green Swallow","Species","Exact Match","Tachycineta thalassina","Alaska,Nebraska","Nebraska",2,1,1
"Tamiasciurus hudsonicus dakotensis","Black Hills red squirrel","Subspecies","Exact Match","Tamiasciurus hudsonicus dakotensis","","South Dakota",0,1,-1
"Tamias minimus","Least Chipmunk","Species","Exact Match","Eutamias minimus,Tamias minimus","Arizona,Michigan,Nebraska","Arizona,Nebraska",3,2,1
"Tamias striatus","Eastern Chipmunk","Species","Exact Match","Tamias striatus","District of Columbia,Florida,Nebraska,Ohio","District of Columbia,Florida,Louisiana,Nebraska,Ohio",4,5,-1
"Tantilla hobartsmithi","Smith's Black-headed Snake","Species","Exact Match","Tantilla hobartsmithi,Tantilla horbartsmithi,Tantilla horbartsmIthi","Arizona,Colorado,Utah","Colorado,Nevada,Utah",3,3,0
"Tantilla nigriceps","Plains Black-headed Snake","Species","Exact Match","Tantilla nigriceps,Tantilla Nigriceps","Arizona,Nebraska,Wyoming","Nebraska,Wyoming",3,2,1
"Telesonix jamesii","James telesonix","Species","Exact Match","Telesonix jamesii","","Colorado",0,1,-1
