"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Notropis percobromus","Carmine shiner","Exact Match","Notropis percobromus","","Iowa,North Dakota,South Dakota",NA,"Animalia","Chordata","Teleostei"
"Notropis shumardi","Silverband Shiner","Exact Match","Notropis shumardi","Illinois,Kansas,Texas","Illinois,Iowa,Kansas,Missouri,Oklahoma,Texas",NA,"Animalia","Chordata","Teleostei"
"Notropis topeka","Topeka Shiner","Exact Match","Notropis topeka","Iowa,Kansas,Minnesota,Missouri,Nebraska,South Dakota","Iowa,Kansas,Minnesota,Missouri,Nebraska,South Dakota",NA,"Animalia","Chordata","Teleostei"
"Noturus exilis","Slender Madtom","Exact Match","Noturus exilis","Illinois,Iowa,Kansas,Kentucky,Minnesota,Mississippi,Wisconsin","Iowa,Kansas,Kentucky,Minnesota,Mississippi,Wisconsin",NA,"Animalia","Chordata","Teleostei"
"Noturus flavus","Stonecat","Exact Match","Noturus flavus","Colorado,Kansas,Maryland,Michigan,Mississippi,North Carolina,Vermont,Virginia,Wyoming","Alabama,Arkansas,Colorado,Kansas,Maryland,Mississippi,North Carolina,Vermont,Virginia",NA,"Animalia","Chordata","Teleostei"
"Noturus gyrinus","Tadpole Madtom","Exact Match","Noturus gyrinus","Iowa,Kansas,Michigan,Nebraska,Pennsylvania","Iowa,Kansas,Nebraska,New Jersey,Pennsylvania,Virginia",NA,"Animalia","Chordata","Teleostei"
"Noturus miurus","Brindled Madtom","Exact Match","Noturus miurus","Alabama,Kansas,Michigan,Pennsylvania","Alabama,Kansas,Michigan,Pennsylvania",NA,"Animalia","Chordata","Teleostei"
"Noturus nocturnus","Freckled madtom","Exact Match","Noturus nocturnus","Iowa,Kansas","Iowa,Kansas",NA,"Animalia","Chordata","Teleostei"
"Noturus placidus","Neosho Madtom","Exact Match","Noturus placidus","Kansas,Missouri,Oklahoma","Kansas,Missouri,Oklahoma","Threatened","Animalia","Chordata","Teleostei"
"Nucifraga columbiana","Clark's Nutcracker","Exact Match","Nucifraga columbiana","Arizona,Montana,Nebraska","Idaho,Nebraska,New Mexico",NA,"Animalia","Chordata","Aves"
"Numenius americanus","Long-billed Curlew","Exact Match","Numenius americanus","California,Colorado,Idaho,Kansas,Montana,Nebraska,Nevada,New Mexico,North Dakota,Oklahoma,Oregon,South Carolina,South Dakota,Texas,Utah,Wyoming","Colorado,Florida,Idaho,Iowa,Kansas,Louisiana,Nebraska,Nevada,New Mexico,North Dakota,Oklahoma,Oregon,South Carolina,South Dakota,Texas,Wyoming","Resolved Taxon","Animalia","Chordata","Aves"
"Nuphar variegata","Yellow Pond-lily","Exact Match","Nuphar variegata","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Nuttallanthus texanus","Texas Toadflax","Exact Match","Nuttallanthus texanus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Nycticeius humeralis","Evening Bat","Exact Match","Nycticeius humeralis","Delaware,Indiana,Iowa,Kentucky,Michigan,Nebraska,Ohio,West Virginia","Delaware,District of Columbia,Indiana,Iowa,Kentucky,Maryland,Michigan,Nebraska,Ohio,West Virginia",NA,"Animalia","Chordata","Mammalia"
"Nycticorax nycticorax","Black-crowned Night-Heron","Exact Match","Nycticorax nycticorax","Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,Virgin Islands,West Virginia,Wyoming","Arkansas,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,Wisconsin,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Nyctinomops macrotis","Big Free-tailed Bat","Exact Match","Nyctinomops macrotis","Arizona,California,Nevada,Texas,Utah","California,Colorado,Texas,Utah","Species of Concern","Animalia","Chordata","Mammalia"
"Nymphaea odorata ssp. tuberosa","White Water-lily","Exact Match","Nymphaea odorata ssp. tuberosa","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Oarisma garita","Garita Skipper","Exact Match","Oarisma garita","Minnesota","Minnesota,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Oarisma poweshiek","Poweshiek Skipperling","Exact Match","Oarisma powesheik,Oarisma poweshiek","Illinois,Iowa,Michigan,Minnesota,South Dakota,Wisconsin","Illinois,Iowa,Michigan,Minnesota,North Dakota,South Dakota,Wisconsin","Endangered","Animalia","Arthropoda","Insecta"
"Obovaria olivaria","Hickorynut","Exact Match","Obovaria olivaria","Alabama,Arkansas,Iowa,Louisiana,Michigan,Minnesota,Missouri,New York,South Dakota,Tennessee","Alabama,Arkansas,Iowa,Louisiana,Michigan,Minnesota,Pennsylvania,South Dakota,Tennessee,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
"Ochotona princeps","American Pika","Exact Match","Ochotona princeps,Ochotona princips","Nevada,Utah","California,Colorado,Nevada,New Mexico,Oregon,Utah,Washington,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Ochrotrichia susanae","Susan's purse-making caddisfly","Exact Match","Ochrotrichia susanae","","Colorado","Resolved Taxon","Animalia","Arthropoda","Insecta"
"Ochrotrichia trapoiza","Caddisfly","Exact Match","Ochrotrichia trapoiza","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Oeneis uhleri","Uhler's Arctic","Exact Match","Oeneis uhleri","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Oenothera acutissima","Narrow-leaf evening primrose","Exact Match","Oenothera acutissima","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Oenothera canescens","Spotted Evening-primrose","Exact Match","Oenothera canescens","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Oenothera coloradensis ssp. coloradensis","Colorado butterfly plant","Exact Match","Oenothera coloradensis ssp. coloradensis","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Oenothera macrocarpa ssp. fremontii","Fremont's Evening-Primrose","Exact Match","Oenothera macrocarpa ssp. fremontii","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Oenothera perennis","Small Sundrops","Exact Match","Oenothera perennis","Missouri,Nebraska","Missouri,Nebraska,South Carolina",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Oncorhynchus clarkii","coastal cutthroat trout (Southern Oregon / California Coasts ESU)","Fuzzy Match","Oncorhynchus clarki 10,Oncorhynchus clarki 7,Oncorhynchus clarki 8,Oncorhynchus clarki 9,Oncorhynchus clarkii,Oncorhynchus clarki ssp.","Oregon,Wyoming","Wyoming","Resolved Taxon","Animalia","Chordata","Teleostei"
"Oncorhynchus clarkii bouvieri","Yellowstone Cutthroat Trout","Exact Match","Oncorhynchus clarki bouvieri,Oncorhynchus clarkii bouvieri","Idaho,Montana,Utah,Wyoming","Montana,Nevada,Utah,Wyoming","Resolved Taxon","Animalia","Chordata","Teleostei"
"Oncorhynchus clarkii lewisi","Westslope Cutthroat Trout","Fuzzy Match","Oncorhynchus clarkii lewisi,Oncorhynchus clarki lewisi","Idaho,Montana,Oregon,Washington,Wyoming","Montana,Oregon,Washington","Original Data in Error - Taxonomic Revision","Animalia","Chordata","Teleostei"
"Oncorhynchus clarkii pleuriticus","Colorado River Cutthroat Trout","Exact Match","Oncorhynchus clarkii pleuriticus,Oncorhynchus clarki pleuriticus","Colorado,Utah,Wyoming","Colorado,Utah,Wyoming","Resolved Taxon","Animalia","Chordata","Teleostei"
"Oncorhynchus clarkii stomias","Greenback cutthroat trout","Exact Match","Oncorhynchus clarkii stomias,Oncorhynchus clarki stomias","Colorado","Colorado",NA,"Animalia","Chordata","Teleostei"
"Oncorhynchus clarkii utah","Bonneville Cutthroat Trout","Fuzzy Match","Oncorhynchus clarkii utah,Oncorhynchus clarki utah","Idaho,Utah,Wyoming","Utah,Wyoming","Resolved Taxon","Animalia","Chordata","Teleostei"
"Oncorhynchus clarkii virginalis","Rio Grande cutthroat trout","Fuzzy Match","Oncorhynchus clarkii virginalis,Oncorhynchus clarki virginalis","Colorado,New Mexico,Texas","Colorado,Texas",NA,"Animalia","Chordata","Teleostei"
"Oncorhynchus mykiss gairdnerii","Columbia River Redband Trout","Fuzzy Match","Oncorhynchus mykiss gairdneri,Oncorhynchus mykiss gairdneri 3,Oncorhynchus mykiss gairdneri 4","Idaho,Montana,Oregon,Washington","Montana,Washington",NA,"Animalia","Chordata","Teleostei"
"Oonopsis","Pueblo goldenweed","Fuzzy Match","Oonopsis puebloensis","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Oonopsis foliosa var. monocephala","Rayless goldenweed","Exact Match","Oonopsis foliosa var. monocephala","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Opheodrys aestivus","Rough Green Snake","Exact Match","Opheodrys aestivus","Delaware,District of Columbia,Indiana,Kansas,Ohio,Pennsylvania,West Virginia","Delaware,District of Columbia,Indiana,Kansas,New Jersey,Ohio,Pennsylvania,West Virginia",NA,"Animalia","Chordata","Reptilia"
"Opheodrys vernalis","Smooth Green Snake","Fuzzy Match","Liochlorophis vernalis,Opheodrys vernalis","Connecticut,Illinois,Indiana,Iowa,Michigan,Minnesota,Missouri,Montana,Nebraska,New Hampshire,New York,North Carolina,North Dakota,Ohio,Utah,Vermont,Virginia,Wyoming","Connecticut,Illinois,Indiana,Iowa,Maryland,Massachusetts,Michigan,Minnesota,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Texas,Vermont,Virginia,West Virginia,Wyoming",NA,"Animalia","Chordata","Reptilia"
"Ophioglossum engelmannii","Limestone Adder's-tongue","Exact Match","Ophioglossum engelmannii","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Ophioglossum pusillum","Northern Adder's-tongue","Exact Match","Ophioglossum pusillum","Nebraska","Connecticut,Massachusetts,Nebraska,Vermont,West Virginia",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Ophisaurus attenuatus","Slender Glass Lizard","Exact Match","Ophisaurus attenuatus","Illinois,Iowa,Mississippi,South Carolina,Texas,Virginia,Wisconsin","Arkansas,Illinois,Iowa,Mississippi,Nebraska,South Carolina,Texas,Wisconsin",NA,"Animalia","Chordata","Reptilia"
"Optioservus phaeus","Scott Optioservus Beetle (E)","Exact Match","Optioservus phaeus","Kansas","Kansas","Resolved Taxon","Animalia","Arthropoda","Insecta"
"Orconectes immunis","Calico Crayfish","Exact Match","Orconectes immunis","Kansas,Wisconsin","Iowa,Kansas,Michigan,Ohio,Wyoming",NA,"Animalia","Arthropoda","Malacostraca"
"Orconectes luteus","Golden Crayfish","Exact Match","Orconectes luteus","Kansas","Iowa,Kansas",NA,"Animalia","Arthropoda","Malacostraca"
"Orconectes macrus","Neosho Midget Crayfish","Exact Match","Orconectesmacrus,Orconectes macrus","Arkansas,Kansas","Arkansas,Kansas,Oklahoma",NA,"Animalia","Arthropoda","Malacostraca"
"Orconectes nais","Water Nymph Crayfish","Exact Match","Orconectes nais","Kansas","Kansas",NA,"Animalia","Arthropoda","Malacostraca"
"Orconectes neglectus","Neglectus Crayfish","Fuzzy Match","Orconectes negectus,Orconectes neglectus","Kansas,Wyoming","Kansas,Wyoming",NA,"Animalia","Arthropoda","Malacostraca"
"Orconectes palmeri","Gray-speckled Crayfish","Exact Match","Orconectes palmeri","Kansas","Kansas",NA,"Animalia","Arthropoda","Malacostraca"
"Orconectes virilis","Virile Crayfish","Exact Match","Orconectes virilis","Kansas,New Mexico,Ohio","Iowa,Kansas,Ohio",NA,"Animalia","Arthropoda","Malacostraca"
"Oreohelix strigosa cooperi","Cooper's rocky mountainsnail","Legacy Match","Oreohelix strigosa cooperi","South Dakota,Wyoming","South Dakota","Resolved Taxon",NA,NA,NA
"Oreoscoptes montanus","Sage Thrasher","Exact Match","Oreoscoptes montanus","Arizona,Montana,Nebraska,New Mexico,Utah,Washington,Wyoming","Arizona,Idaho,Nevada,Washington,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Oreoxis humilis","Pikes Peak spring parsley","Exact Match","Oreoxis humilis","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Orobanche uniflora","One-flower Broomrape","Exact Match","Orobanche uniflora","Nebraska","Louisiana,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Orthilia secunda","One-sided Wintergreen","Exact Match","Orthilia secunda","","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Ortmanniana ligamentina","Mucket","Fuzzy Match","Actinonaias ligamenta,Actinonaias ligamentina","Alabama,Kansas,Louisiana,Minnesota,Mississippi,New York","Alabama,Iowa,Kansas,Louisiana,Minnesota,Mississippi,New York,Tennessee,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
"Otus flammeolus","Flammulated owl","Exact Match","Otus flammeolus","California,Colorado,Idaho,Montana,Oregon,Texas,Washington","Arizona,Colorado,Nevada,Washington","Status Undefined","Animalia","Chordata","Aves"
"Ovis canadensis","Bighorn Sheep","Exact Match","Ovis canadensis","Colorado,Idaho,Utah,Wyoming","Colorado,Idaho,Nevada,Utah,Washington,Wyoming","Species of Concern","Animalia","Chordata","Mammalia"
"Ovis canadensis canadensis","Rocky Mountain Bighorn Sheep","Exact Match","Ovis canadensis canadensis","Arizona,Nebraska,Nevada,New Mexico","Arizona,Nebraska,Oregon",NA,"Animalia","Chordata","Mammalia"
"Oxyloma haydeni","Niobrara Ambersnail","Exact Match","Oxyloma haydeni","Wyoming","Nebraska",NA,"Animalia","Mollusca","Gastropoda"
"Oxytropis besseyi var. obnapiformis","Bessey locoweed","Exact Match","Oxytropis besseyi var. obnapiformis","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Oxytropis multiceps","Dwarf Locoweed","Exact Match","Oxytropis multiceps","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Pacifastacus gambelii","Pilose Crayfish","Exact Match","Pacifastacus gambelii","Wyoming","Utah,Wyoming",NA,"Animalia","Arthropoda","Malacostraca"
"Packera glabella","Butterweed","Fuzzy Match","Packera glabella,Senecio glabellus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Packera pseudaurea var. semicordata","Streambank Ragwort","Fuzzy Match","Packera pseudaurea var. semicordata,Senecio pseudaureus var. semicordatus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Panax quinquefolius","American Ginseng","Fuzzy Match","Panax quinquefolium,Panax quinquefolius","Georgia,Nebraska,Vermont","Connecticut,Georgia,Louisiana,Massachusetts,Nebraska,South Carolina,Tennessee,Vermont","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Pandion haliaetus","Osprey","Exact Match","Pandion haliaetus","Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Michigan,Mississippi,Missouri,New Hampshire,New Jersey,New Mexico,New York,Ohio,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Virgin Islands,West Virginia,Wisconsin","Connecticut,Florida,Illinois,Indiana,Kentucky,Louisiana,Michigan,Mississippi,New Jersey,Pennsylvania,Rhode Island,South Dakota,West Virginia","Species of Concern","Animalia","Chordata","Aves"
"Papilio indra","Indra Swallowtail","Exact Match","Papilio indra","Nebraska","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Papilio zelicaon","Anise Swallowtail","Exact Match","Papilio zelicaon","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Paraleptophlebia calcarica","A Prongill Mayfly","Exact Match","Paraleptophlebia calcarica","Arkansas,Kansas","Arkansas,Kansas","Resolved Taxon","Animalia","Arthropoda","Insecta"
"Paraleptophlebia gregalis","A Mayfly","Exact Match","Paraleptophlebia gregalis","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Parkesia motacilla","Louisiana Waterthrush","Exact Match","Parkesia motacilla,Parkesia (Seiurus) motacilla,Seiurus montacilla,Seiurus motacilla","Connecticut,Delaware,District of Columbia,Florida,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Virginia,Virgin Islands,West Virginia,Wisconsin","Connecticut,Delaware,District of Columbia,Florida,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia",NA,"Animalia","Chordata","Aves"
"Parnassius smintheus","Phoebus' Parnassian","Exact Match","Parnassius smintheus","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Paronychia canadensis","Smooth Forked Chickweed","Exact Match","Paronychia canadensis","Nebraska,Vermont","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Passerculus sandwichensis","Savannah Sparrow","Exact Match","Passerculus sandwichensis","Arizona,Connecticut,Delaware,Illinois,Kentucky,Maryland,Michigan,Nebraska,New Jersey,North Carolina,Ohio,Rhode Island,Tennessee","Alaska,Arizona,Connecticut,Delaware,Kentucky,Maryland,Nebraska,New Jersey,North Carolina,Pennsylvania,Rhode Island",NA,"Animalia","Chordata","Aves"
"Passerina amoena","Lazuli bunting","Exact Match","Passerina amoena","Colorado","Arizona,Colorado",NA,"Animalia","Chordata","Aves"
"Passerina ciris","Painted Bunting","Exact Match","Passerina ciris","Arkansas,Florida,Georgia,Kansas,Louisiana,Mississippi,Missouri,New Mexico,North Carolina,Oklahoma,South Carolina,Tennessee,Texas","Florida,Georgia,Kansas,Louisiana,Mississippi,Missouri,Oklahoma,South Carolina,Tennessee,Texas",NA,"Animalia","Chordata","Aves"
"Patagioenas fasciata","Band-tailed Pigeon","Fuzzy Match","Columba fasciata,Patagioenas fasciata","Alaska,Colorado,New Mexico,Oregon,Texas,Utah","Arizona,Colorado,Utah,Washington",NA,"Animalia","Chordata","Aves"
"Pedicularis crenulata","Meadow Lousewort","Exact Match","Pedicularis crenulata,Pedicularis crenulata 13,Pedicularis crenulata 14","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Pediocactus knowltonii","Knowlton cactus","Exact Match","Pediocactus knowltonii","","Colorado","Endangered","Plantae","Tracheophyta","Magnoliopsida"
"Pediomelum linearifolium","Slim-leaf Scurf-pea","Exact Match","Pediomelum linearifolium","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Pelecanus erythrorhynchos","American White Pelican","Exact Match","Pelecanus erythrorhynchos","Arkansas,California,Colorado,Delaware,Idaho,Iowa,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Montana,Nebraska,Nevada,North Dakota,Oregon,South Dakota,Texas,Utah,Washington,Wyoming","California,Colorado,Idaho,Iowa,Kansas,Kentucky,Minnesota,Nevada,North Dakota,Oregon,South Dakota,Texas,Utah,Washington","Species of Concern","Animalia","Chordata","Aves"
"Pellaea atropurpurea","Purple-stem Cliff-brake","Exact Match","Pellaea atropurpurea","Nebraska","Nebraska,South Carolina",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Penstemon ambiguus var. ambiguus","Gilia Beardtongue","Exact Match","Penstemon ambiguus var. ambiguus","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Penstemon buckleyi","Buckley's Penstemon","Exact Match","Penstemon buckleyi","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Penstemon debilis","Parachute penstemon","Exact Match","Penstemon debilis","","Colorado","Threatened","Plantae","Tracheophyta","Magnoliopsida"
"Penstemon degeneri","Degener beardtongue","Exact Match","Penstemon degeneri","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Penstemon digitalis","Foxglove Penstemon","Exact Match","Penstemon digitalis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Penstemon fremontii var. glabrescens","Fremont’s beardtongue","Exact Match","Penstemon fremontii var. glabrescens","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
