"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Matteuccia struthiopteris var. pensylvanica","Ostrich Fern","Variety","Exact Match","Plants","Matteuccia struthiopteris var. pensylvanica","Missouri","Nebraska",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Onocleaceae","Matteuccia"
"Matus ovatus","A Predaceous Diving Beetle","Species","Exact Match","Insects","Matus ovatus","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Matus"
"Mecardonia acuminata","Water Hyssop","Species","Exact Match","Plants","Mecardonia acuminata","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Mecardonia"
"Medionidus conradicus","Cumberland Moccasinshell","Species","Exact Match","Mollusks","Medionidus conradicus","Alabama,Georgia,Kentucky,Tennessee,Virginia","Alabama,Georgia,Kentucky,Tennessee,Virginia",5,5,"Under Review in the Candidate or Petition Process","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Medionidus"
"Megaceryle alcyon","Belted Kingfisher","Species","Exact Match","Birds","Ceryle alcyon,Megaceryle alcyon,Megaceryle lcyon","Alaska,Arizona,Connecticut,Ohio,Rhode Island,Virgin Islands","Alaska,Iowa,Maine,Minnesota,New Jersey,South Carolina,Virginia",6,7,NA,"Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Megaceryle"
"Megalonaias nervosa","Washboard","Species","Exact Match","Mollusks","Megalonaias nervosa","Florida,Kansas,Minnesota,Ohio,Oklahoma,West Virginia","Florida,Iowa,Kansas,Minnesota,Ohio,Oklahoma,West Virginia,Wisconsin",6,8,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Megalonaias"
"Megascops asio","Eastern Screech-owl","Species","Fuzzy Match","Birds","Megascops asio,MegMASCops asio,Otus asio","Connecticut,Maine,New Jersey,Ohio","District of Columbia,Florida,Iowa,Maine",4,4,NA,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Megascops"
"Megathymus streckeri","Strecker's Giant Skipper","Species","Exact Match","Insects","Megathymus streckeri","","Louisiana,Nebraska",0,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Megathymus"
"Megathymus yuccae coloradensis","Colorado Giant Skipper","Subspecies","Exact Match","Insects","Megathymus yuccae coloradensis","Nebraska","Nebraska",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Megathymus"
"Melanerpes erythrocephalus","Red-headed Woodpecker","Species","Exact Match","Birds","Melanerpes erythrocephalus","Arkansas,Connecticut,Delaware,Florida,Illinois,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Montana,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Tennessee,Texas,West Virginia,Wisconsin","Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",24,27,NA,"Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes"
"Melanerpes lewis","Lewis's Woodpecker","Species","Exact Match","Birds","Melanerpes lewis","Arizona,California,Colorado,Idaho,Kansas,Montana,Nebraska,Nevada,New Mexico,Oklahoma,Oregon,South Dakota,Utah,Washington,Wyoming","Arizona,Colorado,Idaho,Montana,Nebraska,Nevada,New Mexico,Oregon,South Dakota,Utah,Washington,Wyoming",15,12,"Species of Concern","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes"
"Melanomma auricinctaria","Gold-lined Melanomma, Eye-Spot Moth","Species","Exact Match","Insects","Melanomma auricinctaria","Illinois","Illinois",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Melanomma"
"Melanoplus beameri","A Spur-throat Grasshopper","Species","Exact Match","Insects","Melanoplus beameri","Kansas","Kansas",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus bruneri","Bruner's Spur-throat Grasshopper","Species","Exact Match","Insects","Melanoplus bruneri","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus fasciatus","Huckleberry Spur-throat Grasshopper","Species","Exact Match","Insects","Melanoplus fasciatus","Missouri,Wisconsin","Wisconsin",2,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus flavidus","blue-legged locust","Species","Exact Match","Insects","Melanoplus flavidus","Michigan","Michigan,Wisconsin",1,2,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus foedus","A Spur-throat Grasshopper","Species","Exact Match","Insects","Melanoplus foedus","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus gladstoni","Gladston's Spur-throat Grasshopper","Species","Exact Match","Insects","Melanoplus gladstoni","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus islandicus","Forest Locust","Species","Exact Match","Insects","Melanoplus islandicus","","Wisconsin",0,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus packardii","Packard's Grasshopper","Species","Exact Match","Insects","Melanoplus packardii","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus punctulatus","Grizzly Spur-throat Grasshopper","Species","Exact Match","Insects","Melanoplus punctulatus","","Nebraska,Wisconsin",0,2,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus punctulatus griseus","Grizzly grasshopper","Subspecies","Exact Match","Insects","Melanoplus punctulatus griseus","Missouri,Wisconsin","Missouri",2,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus scudderi","Scudder's Short-winged Grasshopper","Species","Exact Match","Insects","Melanoplus scudderi","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melanoplus stonei","Stone's Locust","Species","Exact Match","Insects","Melanoplus stonei","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus"
"Melica nitens","Tall Melic","Species","Exact Match","Plants","Melica nitens","Nebraska","Nebraska,West Virginia",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Melica"
"Melissodes intorta","A Callirhoe bee","Species","Exact Match","Insects","Melissodes intorta","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melissodes"
"Melospiza georgiana","Swamp Sparrow","Species","Exact Match","Birds","Melospiza georgiana","Minnesota,Nebraska,Ohio","Nebraska",3,1,NA,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melospiza"
"Memnonia panzeri","no common name","Unknown Taxonomic Rank","Legacy Match","Insects","Memnonia panzeri","Illinois,Wisconsin","Illinois,Wisconsin",2,2,NA,NA,NA,NA,NA,NA,NA
"Menetus sampsoni","no common name","Species","Fuzzy Match","Mollusks","Micromenetus sampsoni","Illinois,Missouri","Missouri",2,1,NA,"Animalia","Mollusca","Gastropoda","Basommatophora","Planorbidae","Menetus"
"Menidia beryllina","Inland Silverside","Species","Exact Match","Fish","Menidia audens,Menidia beryllina","Kentucky,New York,South Carolina","Kentucky,New York,Rhode Island",3,3,NA,"Animalia","Chordata","Teleostei","Atheriniformes","Atherinopsidae","Menidia"
"Mentzelia albicaulis","White-stem Blazing-star","Species","Exact Match","Plants","Mentzelia albicaulis","","Nebraska",0,1,"Status Undefined","Plantae","Tracheophyta","Magnoliopsida","Cornales","Loasaceae","Mentzelia"
"Mentzelia oligosperma","Stickleaf","Species","Exact Match","Plants","Mentzelia oligosperma","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Cornales","Loasaceae","Mentzelia"
"Menyanthes trifoliata","Buckbean","Species","Exact Match","Plants","Menyanthes trifoliata","Missouri,Nebraska","Missouri,West Virginia",2,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Menyanthaceae","Menyanthes"
"Mergus merganser","Common Merganser","Species","Exact Match","Birds","Mergus merganser","Arizona,Connecticut","Maryland,Minnesota,West Virginia",2,3,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus"
"Mermiria bivittata","Mermiria Grasshopper","Species","Exact Match","Insects","Mermiria bivittata","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Mermiria"
"Merolonche dolli","Doll's merolonche","Unknown Taxonomic Rank","Legacy Match","Insects","Merolonche dolli","Michigan,New Jersey,New York,Pennsylvania,Virginia,West Virginia","Michigan,Virginia",6,2,"Species of Concern",NA,NA,NA,NA,NA,NA
"Meropleon ambifusca","Newman's brocade","Species","Exact Match","Insects","Meropleon ambifusca","Connecticut,Michigan","Connecticut,Maryland,Michigan",2,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Meropleon"
"Mertensia lanceolata var. lanceolata","Prairie Bluebells","Variety","Exact Match","Plants","Mertensia lanceolata var. lanceolata","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Mertensia"
"Mesodon clausus","Yellow globelet","Species","Exact Match","Mollusks","Mesodon clausus","Pennsylvania,Virginia","Michigan,Virginia,West Virginia",2,3,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Mesodon"
"Mesodon elevatus","Proud globe","Species","Exact Match","Mollusks","Mesodon elevatus","Michigan,Virginia","Michigan,Virginia",2,2,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Mesodon"
"Mesodon mitchellianus","Sealed globelet","Species","Exact Match","Mollusks","Mesodon mitchellianus","Missouri,Pennsylvania","Michigan,North Carolina,West Virginia",2,3,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Mesodon"
"Mesomphix cupreus","copper button","Species","Exact Match","Mollusks","Mesomphix cupreus","Michigan","Michigan",1,1,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Zonitidae","Mesomphix"
"Metretopus borealis","A Cleft-footed Minnow Mayfly","Species","Exact Match","Insects","Metretopus borealis","Wisconsin","Maine,Wisconsin",1,2,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Metretopodidae","Metretopus"
"Microtus ochrogaster","Prairie Vole","Species","Exact Match","Mammals","Microtus ochrogaster","Iowa,Michigan,Minnesota,Ohio,Texas,West Virginia,Wisconsin,Wyoming","Louisiana,Michigan,Minnesota,Texas,West Virginia,Wisconsin",8,6,NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus"
"Microtus pinetorum","Woodland Vole","Species","Exact Match","Mammals","Microtus pinetorum,Microtus pinetorum ssp.","Connecticut,Illinois,Iowa,Michigan,Minnesota,Nebraska,Ohio,Vermont,Wisconsin","Connecticut,Florida,Iowa,Michigan,Minnesota,Nebraska,Ohio,Vermont,Wisconsin",9,9,"Status Undefined","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus"
"Microvelia albonotata","A Broad-shouldered Water Strider","Species","Exact Match","Insects","Microvelia albonotata","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia"
"Mimulus alatus","Sharpwing Monkey-Flower","Species","Exact Match","Plants","Mimulus alatus","Nebraska","Massachusetts,Nebraska",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus"
"Mimulus guttatus","Seep Monkey-Flower","Species","Exact Match","Plants","Mimulus guttatus","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus"
"Minuartia michauxii","Michaux's Sandwort","Species","Exact Match","Plants","Minuartia michauxii,Minuartia michauxii var. texana","Nebraska","Massachusetts,Missouri,Nebraska",1,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Minuartia"
"Minuartia muscorum","Dixie Stitchwort","Species","Exact Match","Plants","Minuartia muscorum","Missouri","Louisiana,Missouri",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Minuartia"
"Minytrema melanops","Spotted Sucker","Species","Exact Match","Fish","Minytrema melanops","Iowa,Kansas,Michigan,Pennsylvania","Iowa,Kansas,Pennsylvania",4,3,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Minytrema"
"Mirabilis glabra","Smooth Four-o'clock","Species","Exact Match","Plants","Mirabilis exaltata,Mirabilis glabra","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Mirabilis"
"Mitreola petiolata","Miterwort","Species","Exact Match","Plants","Mitreola petiolata","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Loganiaceae","Mitreola"
"Mnesithea cylindrica","Joint Grass","Species","Fuzzy Match","Plants","Coelorachis cylindrica","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Mnesithea"
"Mniotilta varia","Black-and-white Warbler","Species","Exact Match","Birds","Mniotilta varia,Mniotita varia","Connecticut,Delaware,Indiana,Iowa,Maine,Maryland,Nebraska,New Jersey,Ohio,Puerto Rico,Rhode Island,Virginia,Virgin Islands","Connecticut,Delaware,District of Columbia,Indiana,Maine,Maryland,Massachusetts,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island,South Carolina,Virginia",13,14,NA,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta"
"Monarda clinopodia","Basil bee balm","Species","Exact Match","Plants","Monarda clinopodia","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Monarda"
"Monotropa uniflora","Indian-pipe","Species","Exact Match","Plants","Monotropa uniflora","Nebraska","Nebraska",1,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Monotropa"
"Morone mississippiensis","Yellow Bass","Species","Exact Match","Fish","Morone mississippiensis","Minnesota","Minnesota",1,1,NA,"Animalia","Chordata","Teleostei","Perciformes","Moronidae","Morone"
"Moxostoma anisurum","Silver Redhorse","Species","Exact Match","Fish","Moxostoma anisurum","Arkansas,Mississippi,Vermont","Arkansas,Iowa,Mississippi,Missouri,Ohio,Vermont,Virginia",3,7,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma breviceps","Smallmouth Redhorse","Species","Exact Match","Fish","Moxostoma breviceps","","North Carolina,Ohio,Virginia",0,3,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma carinatum","River Redhorse","Species","Exact Match","Fish","Moxostoma carinatum","Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Michigan,Minnesota,Mississippi,New York,Ohio,Virginia,West Virginia,Wisconsin","Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Michigan,Mississippi,Missouri,New York,North Carolina,Ohio,Virginia,West Virginia,Wisconsin",14,15,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma duquesnii","Black Redhorse","Species","Fuzzy Match","Fish","Moxostoma duquesnei","Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,New York,Wisconsin","Iowa,Kansas,Michigan,Minnesota,Mississippi,New York,Ohio,Wisconsin",8,8,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma erythrurum","Golden Redhorse","Species","Exact Match","Fish","Moxostoma erythrurum","Kansas,Michigan,Mississippi","Kansas,Mississippi",3,2,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma macrolepidotum","Shorthead Redhorse","Species","Exact Match","Fish","Moxostoma macrolepidotum","Arkansas,Delaware,Kansas,Mississippi,North Carolina,Oklahoma,Vermont,Wyoming","Delaware,Kansas,Mississippi,Oklahoma,Vermont,West Virginia",8,6,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma pisolabrum","Pealip Redhorse","Species","Exact Match","Fish","Moxostoma pisolabrum","","Arkansas,Kansas",0,2,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma poecilurum","Blacktail Redhorse","Species","Exact Match","Fish","Moxostoma poecilurum","Kentucky","Kentucky",1,1,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Moxostoma valenciennesi","Greater Redhorse","Species","Exact Match","Fish","Moxostoma valenciennesi,Mxostoma valenciennesi","Illinois,Indiana,Iowa,Minnesota,Ohio,Vermont,Wisconsin","Illinois,Indiana,Ohio,Vermont",7,4,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma"
"Muhlenbergia filiformis","Pull-Up Muhly","Species","Exact Match","Plants","Muhlenbergia filiformis","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Muhlenbergia"
"Muhlenbergia glomerata","Spiked Muhly","Species","Exact Match","Plants","Muhlenbergia glomerata","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Muhlenbergia"
"Muhlenbergia minutissima","Least Muhly","Species","Exact Match","Plants","Muhlenbergia minutissima","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Muhlenbergia"
"Muhlenbergia richardsonis","Mat Muhly","Species","Exact Match","Plants","Muhlenbergia richardsonis","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Muhlenbergia"
"Muhlenbergia sylvatica","Woodland Muhly","Species","Exact Match","Plants","Muhlenbergia sylvatica","","Nebraska,Vermont",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Muhlenbergia"
"Muhlenbergia tenuiflora","Slim-flower Muhly","Species","Exact Match","Plants","Muhlenbergia tenuiflora","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Muhlenbergia"
"Mundochthonius cavernicola","Cavernicolous Pseudoscorpion","Species","Fuzzy Match","Arachnids","Mundochthonius cavernicola,Mundochthonius cavernicolus","Illinois,Missouri","Illinois",2,1,NA,"Animalia","Arthropoda","Arachnida","Pseudoscorpiones","Chthoniidae","Mundochthonius"
"Musculium securis","Pond Fingernailclam","Species","Exact Match","Mollusks","Musculium securis","","Ohio",0,1,NA,"Animalia","Mollusca","Bivalvia","Veneroida","Pisidiidae","Musculium"
"Musculium transversum","Long Fingernailclam","Species","Exact Match","Mollusks","Musculium transversum","New Mexico","New Mexico,Ohio",1,2,NA,"Animalia","Mollusca","Bivalvia","Veneroida","Pisidiidae","Musculium"
"Mustela erminea","Ermine","Species","Fuzzy Match","Mammals","Mustela ermine,Mustela erminea","Connecticut,Ohio","Connecticut,Iowa,Ohio",2,3,NA,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela"
"Mustela frenata","Long-tailed Weasel","Species","Exact Match","Mammals","Mustela frenata","Alabama,Arkansas,Connecticut,Louisiana,Mississippi,Missouri,Nebraska,North Carolina,Ohio,Oklahoma,Texas,Vermont","Alabama,Arizona,Arkansas,Connecticut,Delaware,Iowa,Louisiana,Mississippi,Missouri,Nebraska,Oklahoma,Texas,Vermont",12,13,NA,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela"
"Mustela nigripes","Black-footed Ferret","Species","Exact Match","Mammals","Mustela nigripes","Arizona,Colorado,Kansas,Montana,North Dakota,South Dakota,Texas,Utah,Wyoming","Arizona,Colorado,Kansas,Montana,New Mexico,North Dakota,South Dakota,Texas,Utah,Wyoming",9,10,"Endangered","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela"
